Time Stamp,Voltage,Last Stable Current
4396592,56.28689509,
4396704,56.28461829,
4396835,56.28461829,
4396867,56.28689509,
4396898,56.28461829,
4396930,56.28461829,
4396961,56.28461829,
4396993,56.28461829,
4397024,56.2823415,
4397055,56.2823415,
4397087,56.28461829,
4397118,56.28461829,
4397149,56.28461829,
4397181,56.28461829,
4397212,56.28461829,
4397244,56.28689509,
4397275,56.28461829,
4397307,56.28461829,
4397338,56.28461829,
4397369,56.28461829,
4397401,56.2823415,
4397611,56.28461829,
4397742,56.28461829,
4397774,56.28689509,
4397806,56.28461829,
4397838,56.28461829,
4397869,56.28461829,
4397901,56.2823415,
4397932,56.2823415,
4397963,56.28461829,
4397995,56.28461829,
4398026,56.2823415,
4398058,56.28461829,
4398089,56.28461829,
4398120,56.28461829,
4398152,56.28461829,
4398183,56.28461829,
4398215,56.28689509,
4398246,56.28461829,
4398277,56.28461829,
4398309,56.28461829,
4398451,56.28461829,
4398583,56.28461829,
4398615,56.2823415,
4398646,56.2823415,
4398677,56.28689509,
4398709,56.28461829,
4398741,56.28461829,
4398772,56.28461829,
4398803,56.28461829,
4398835,56.2823415,
4398866,56.28689509,
4398898,56.28461829,
4398929,56.2823415,
4398961,56.28689509,
4398992,56.28689509,
4399024,56.2823415,
4399055,56.2823415,
4399086,56.28461829,
4399118,56.28461829,
4399149,56.28461829,
4399256,56.28689509,
4399387,56.28461829,
4399418,56.28461829,
4399450,56.2823415,
4399482,56.28917188,
4399513,56.28461829,
4399545,56.28461829,
4399576,56.28461829,
4399607,56.28689509,
4399639,56.28461829,
4399670,56.28461829,
4399702,56.28461829,
4399733,56.28689509,
4399765,56.28461829,
4399796,56.28461829,
4399827,56.28689509,
4399859,56.2823415,
4399890,56.28689509,
4399921,56.28461829,
4399953,56.28461829,
4400083,56.28461829,
4400214,56.28461829,
4400246,56.2823415,
4400278,56.28461829,
4400309,56.28461829,
4400340,56.28689509,
4400372,56.28689509,
4400403,56.28461829,
4400434,56.28461829,
4400466,56.28461829,
4400497,56.2823415,
4400529,56.28461829,
4400560,56.28689509,
4400592,56.28461829,
4400623,56.2823415,
4400655,56.28461829,
4400686,56.28689509,
4400717,56.28461829,
4400749,56.28461829,
4400780,56.28461829,
4400900,56.2823415,
4401031,56.28461829,
4401063,56.28689509,
4401094,56.2823415,
4401125,56.28461829,
4401157,56.2823415,
4401188,56.28461829,
4401220,56.2823415,
4401251,56.2823415,
4401283,56.28461829,
4401314,56.28461829,
4401345,56.28689509,
4401377,56.28461829,
4401408,56.28461829,
4401440,56.28689509,
4401471,56.28461829,
4401503,56.2823415,
4401534,56.28461829,
4401565,56.28461829,
4401597,56.28461829,
4401833,56.28917188,
4401964,56.2823415,
4401996,56.28461829,
4402028,56.2823415,
4402059,56.28689509,
4402091,56.28461829,
4402122,56.28461829,
4402154,56.28689509,
4402185,56.28461829,
4402216,56.28689509,
4402248,56.2823415,
4402279,56.28689509,
4402311,56.2823415,
4402342,56.2823415,
4402373,56.28461829,
4402405,56.28461829,
4402436,56.28461829,
4402468,56.2823415,
4402499,56.2823415,
4402531,56.28917188,
4402642,56.28461829,
4402773,56.28461829,
4402805,56.28461829,
4402837,56.28461829,
4402868,56.2823415,
4402899,56.28461829,
4402931,56.28461829,
4402963,56.28461829,
4402994,56.28461829,
4403025,56.2823415,
4403057,56.2823415,
4403088,56.28689509,
4403120,56.28689509,
4403151,56.2823415,
4403182,56.2823415,
4403214,56.28461829,
4403246,56.28461829,
4403277,56.28689509,
4403308,56.28461829,
4403340,56.28461829,
4403560,56.28461829,
4403691,56.28917188,
4403723,56.28689509,
4403755,56.28461829,
4403786,56.28461829,
4403817,56.28917188,
4403849,56.28461829,
4403881,56.28689509,
4403912,56.28461829,
4403944,56.28461829,
4403975,56.28689509,
4404006,56.28461829,
4404038,56.28461829,
4404069,56.28461829,
4404100,56.2823415,
4404132,56.28461829,
4404163,56.28461829,
4404195,56.28461829,
4404226,56.28689509,
4404258,56.28689509,
4404397,56.28461829,
4404528,56.28689509,
4404561,56.28461829,
4404592,56.2823415,
4404623,56.28461829,
4404655,56.28461829,
4404687,56.28689509,
4404718,56.28461829,
4404750,56.28689509,
4404781,56.28461829,
4404812,56.28689509,
4404844,56.28461829,
4404876,56.2823415,
4404907,56.28461829,
4404938,56.28689509,
4404970,56.28461829,
4405001,56.28689509,
4405032,56.28689509,
4405064,56.28461829,
4405095,56.2823415,
4405202,56.28461829,
4405333,56.28689509,
4405365,56.28461829,
4405396,56.2823415,
4405428,56.2823415,
4405459,56.28461829,
4405491,56.28917188,
4405522,56.2823415,
4405553,56.28461829,
4405585,56.28461829,
4405616,56.2823415,
4405648,56.28461829,
4405679,56.28461829,
4405711,56.2823415,
4405742,56.28461829,
4405774,56.28689509,
4405805,56.28461829,
4405836,56.28461829,
4405867,56.2823415,
4405899,56.28461829,
4406042,56.2823415,
4406173,56.2823415,
4406206,56.28461829,
4406237,56.28461829,
4406268,56.28461829,
4406300,56.28689509,
4406332,56.28461829,
4406363,56.28461829,
4406395,56.2823415,
4406426,56.28461829,
4406457,56.28461829,
4406489,56.28461829,
4406520,56.28689509,
4406552,56.28461829,
4406583,56.28461829,
4406614,56.28461829,
4406646,56.28689509,
4406677,56.2823415,
4406709,56.28689509,
4406740,56.2823415,
4406837,56.28689509,
4406968,56.28461829,
4407001,56.28461829,
4407032,56.28461829,
4407063,56.28689509,
4407095,56.28461829,
4407126,56.28461829,
4407158,56.28461829,
4407189,56.2823415,
4407221,56.2823415,
4407252,56.28461829,
4407283,56.28461829,
4407315,56.28461829,
4407346,56.28461829,
4407378,56.28006471,
4407409,56.28461829,
4407441,56.2823415,
4407472,56.28689509,
4407503,56.28689509,
4407535,56.28461829,
4407661,56.28689509,
4407793,56.28689509,
4407825,56.28461829,
4407857,56.28461829,
4407888,56.28461829,
4407919,56.28689509,
4407951,56.28461829,
4407982,56.28461829,
4408014,56.28461829,
4408045,56.28689509,
4408077,56.28461829,
4408108,56.28689509,
4408140,56.28461829,
4408171,56.28461829,
4408202,56.28689509,
4408234,56.28461829,
4408265,56.28689509,
4408296,56.28461829,
4408328,56.28689509,
4408359,56.28689509,
4408482,56.28461829,
4408614,56.28461829,
4408646,56.2823415,
4408678,56.2823415,
4408709,56.28689509,
4408740,56.28461829,
4408772,56.28689509,
4408803,56.28461829,
4408834,56.28689509,
4408866,56.28689509,
4408898,56.28461829,
4408929,56.28689509,
4408961,56.28461829,
4408992,56.2823415,
4409023,56.28461829,
4409055,56.28461829,
4409086,56.28689509,
4409117,56.28461829,
4409149,56.28461829,
4409180,56.28461829,
4409307,56.28461829,
4409439,56.2823415,
4409471,56.28461829,
4409503,56.28461829,
4409534,56.28461829,
4409565,56.28689509,
4409597,56.28461829,
4409628,56.28689509,
4409659,56.28461829,
