date,time,time_passed_since_start,Current Out 1,Current Out 2,Current In 1,Current In 2,Voltage,Lost Data
2026-02-25,14:36:38.492015,153801,-0.123749995,0.982499981,1.080000019,1.00875,57.177,0
2026-02-25,14:36:38.492015,154889,-0.135000002,1.02,1.064999962,0.99375,57.1725,0
2026-02-25,14:36:38.492015,155976,-0.104999995,1.14375,0.9375,1.173750019,57.1725,0
2026-02-25,14:36:38.492015,157064,-0.086249995,0.94875,1.117500019,0.952500057,57.1725,0
2026-02-25,14:36:38.492015,158152,-0.13125,1.064999962,1.02,1.035000038,57.1725,0
2026-02-25,14:36:44.022959,159321,-0.15,1.091250038,0.978750038,1.139999962,57.1725,0
2026-02-25,14:36:44.022959,160409,-0.067500001,0.941250038,1.132499981,0.915,57.17475,0
2026-02-25,14:36:44.022959,161496,-0.12,1.139999962,0.944999981,1.155000019,57.1725,0
2026-02-25,14:36:44.022959,162584,-0.101250005,1.057499981,1.0125,1.094999981,57.17475,0
2026-02-25,14:36:44.022959,163672,-0.1275,0.95625,1.121250057,0.92625,57.17925,0
2026-02-25,14:36:49.538817,164837,-0.093750006,1.117500019,0.978750038,1.110000038,57.17475,0
2026-02-25,14:36:49.538817,165926,-0.101250005,1.046250057,1.023750019,1.083749962,57.17475,0
2026-02-25,14:36:49.538817,167013,-0.097500002,0.9375,1.128750038,0.915,57.1725,0
2026-02-25,14:36:49.538817,168100,-0.1125,1.13625,0.944999981,1.151249981,57.1725,0
2026-02-25,14:36:49.538817,169189,-0.089999998,0.9975,1.06875,1.03125,57.17025,0
2026-02-25,14:36:55.017481,170347,-0.116250002,1.0875,0.989999962,1.132499981,57.1725,0
2026-02-25,14:36:55.017481,171436,-0.093750006,0.944999981,1.128750038,0.91875,57.1725,0
2026-02-25,14:36:55.017481,172523,-0.123749995,1.14375,0.9375,1.158749962,57.17025,0
2026-02-25,14:36:55.017481,173610,-0.123749995,1.057499981,1.0125,1.0875,57.1725,0
2026-02-25,14:36:55.017481,174698,-0.089999998,0.94875,1.132499981,0.930000019,57.1725,0
2026-02-25,14:37:00.504049,175834,-0.067500001,0.952500057,1.113750076,0.96,57.17475,0
2026-02-25,14:37:00.504049,176921,-0.093750006,0.99375,1.0875,0.95625,57.168,0
2026-02-25,14:37:00.504049,178009,-0.116250002,1.132499981,0.944999981,1.169999981,57.1725,0
2026-02-25,14:37:00.504049,179097,-0.093750006,0.9375,1.13625,0.92625,57.17475,0
2026-02-25,14:37:00.504049,180184,-0.071249998,1.027500057,1.057499981,1.001249981,57.1725,0
2026-02-25,14:37:05.983210,181320,-0.123749995,0.933749962,1.128750038,0.911250019,57.1725,0
2026-02-25,14:37:05.983210,182407,-0.071249998,1.125,0.967500019,1.121250057,57.17475,0
