SoC,R0,R1,R2,C1,C2,Tau1,Tau2,A1,A2
52.233,0.06043377477023067,0.03940062178424597,0.027690354267730994,619.6243886145706,7396.250130769907,23.30534823330393,222.1196940368721,0.39911571623339703,0.3180443312299228
52.234,0.06043306433392059,0.0394007661805416,0.027690408827020976,619.6236232333074,7396.205726755597,23.305414503402393,222.12020120850906,0.3991168861922778,0.31804429466304873
52.235,0.060432353857866467,0.039400910616726056,0.02769046349062352,619.6228575595774,7396.161315133302,23.30548080246178,222.12070860041175,0.3991180559698899,0.31804425813733106
52.236,0.060431643342076846,0.039401055092796906,0.02769051825853819,619.6220915933806,7396.11689590302,23.30554713048115,222.12121621257103,0.39911922556621127,0.3180442216527677
52.237,0.06043093278656026,0.039401199608751714,0.027690573130764565,619.6213253347171,7396.072469064751,23.30561348745954,222.12172404497778,0.39912039498122,0.31804418520935634
52.238,0.06043022219132528,0.03940134416458804,0.0276906281073022,619.6205587835868,7396.028034618496,23.305679873396,222.1222320976228,0.399121564214894,0.3180441488070948
52.239,0.06042951155638044,0.03940148876030345,0.027690683188150666,619.6197919399899,7395.983592564255,23.305746288289573,222.12274037049696,0.39912273326721126,0.3180441124459809
52.24,0.06042880088173428,0.039401633395895495,0.027690738373309525,619.6190248039262,7395.939142902025,23.30581273213931,222.1232488635911,0.3991239021381498,0.31804407612601243
52.241,0.060428090167395365,0.03940177807136175,0.027690793662778344,619.6182573753958,7395.894685631811,23.305879204944244,222.12375757689603,0.39912507082768767,0.31804403984718715
52.242,0.06042737941337224,0.03940192278669977,0.027690849056556683,619.6174896543987,7395.850220753609,23.30594570670343,222.12426651040263,0.3991262393358028,0.31804400360950286
52.243,0.060426668619673454,0.039402067541907115,0.027690904554644104,619.6167216409349,7395.805748267421,23.306012237415903,222.1247756641017,0.3991274076624733,0.3180439674129573
52.244,0.06042595778630757,0.03940221233698134,0.027690960157040166,619.6159533350043,7395.761268173247,23.306078797080712,222.12528503798404,0.399128575807677,0.31804393125754843
52.245,0.06042524691328313,0.03940235717192001,0.027691015863744436,619.615184736607,7395.716780471086,23.306145385696897,222.1257946320405,0.399129743771392,0.31804389514327386
52.246,0.06042453600060869,0.03940250204672069,0.027691071674756467,619.614415845743,7395.672285160938,23.306212003263504,222.12630444626188,0.3991309115535963,0.31804385907013144
52.247,0.06042382504829281,0.03940264696138092,0.027691127590075824,619.6136466624123,7395.627782242804,23.306278649779568,222.126814480639,0.39913207915426785,0.31804382303811896
